district,region,sub_locality,year,month,date,population,total_crimes,crimes_per_100k,violent_crimes,property_crimes,crimes_against_women,hotspot_flag,latitude,longitude,location_address,cctv_status,complaint_body,crime_type
Jaipur,North Jaipur,Bus Stand,2024,3,2024-03-01,2810859,9374,333.51,2777,5046,946,1,26.90575,75.81556,"Bus Stand, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,North Jaipur,College Road,2024,3,2024-03-01,2810859,8479,301.66,2512,4564,856,1,26.94415,75.77301,"College Road, North Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in College Road market.,Other
Jaipur,South Jaipur,Police Station Area,2024,3,2024-03-01,2810859,6035,214.72,1788,3249,609,0,27.02068,75.87777,"Police Station Area, South Jaipur, Jaipur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Police Station Area.,Financial Fraud
Jaipur,South Jaipur,Railway Station,2024,3,2024-03-01,2810859,8210,292.08,2432,4419,828,0,26.94229,75.72792,"Railway Station, South Jaipur, Jaipur, Rajasthan",Not Installed,A case of car theft was reported near outside Gaurav Tower.,Vehicle Theft
Jaipur,East Jaipur,Clock Tower,2024,3,2024-03-01,2810859,8456,300.85,2505,4552,853,1,26.87637,75.84833,"Clock Tower, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Clock Tower.,Fraud/Deception
Jaipur,East Jaipur,Main Market,2024,3,2024-03-01,2810859,6339,225.54,1878,3413,640,0,26.94001,75.77803,"Main Market, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of drunken brawl was reported near inside Triton Mall.,Public Disturbance
Jaipur,West Jaipur,Hospital Road,2024,3,2024-03-01,2810859,7923,281.9,2347,4265,799,0,26.8418,75.80105,"Hospital Road, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of anti-national activity was reported near outside the post office in Hospital Road.,Extremism/Anti-national
Jaipur,West Jaipur,Police Station Area,2024,3,2024-03-01,2810859,9871,351.2,2924,5314,996,1,26.91128,75.77229,"Police Station Area, West Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in Police Station Area market.,Other
Jaipur,Central Jaipur,Railway Station,2024,3,2024-03-01,2810859,6762,240.57,2003,3640,682,0,26.89652,75.77777,"Railway Station, Central Jaipur, Jaipur, Rajasthan",Installed,Verbal argument escalated. Police intervened.,Public Disturbance
Jaipur,Central Jaipur,Industrial Area,2024,3,2024-03-01,2810859,7610,270.74,2254,4097,768,0,26.89623,75.79703,"Industrial Area, Central Jaipur, Jaipur, Rajasthan",Not Installed,Illegal gambling reported in Industrial Area.,Illegal Gambling
Jaipur,North Jaipur,Industrial Area,2024,4,2024-04-01,2810859,7298,259.64,1691,4402,940,0,27.00502,75.78173,"Industrial Area, North Jaipur, Jaipur, Rajasthan",Not Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,North Jaipur,Mall Road,2024,4,2024-04-01,2810859,6180,219.87,1432,3728,796,0,26.95433,75.82286,"Mall Road, North Jaipur, Jaipur, Rajasthan",Not Installed,Illegal gambling reported in Mall Road.,Illegal Gambling
Jaipur,South Jaipur,Railway Station,2024,4,2024-04-01,2810859,8927,317.58,2068,5384,1149,1,26.85196,75.85428,"Railway Station, South Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in Railway Station market.,Other
Jaipur,South Jaipur,Hospital Road,2024,4,2024-04-01,2810859,8672,308.51,2009,5230,1116,1,26.89285,75.75514,"Hospital Road, South Jaipur, Jaipur, Rajasthan",Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,East Jaipur,Clock Tower,2024,4,2024-04-01,2810859,7756,275.93,1797,4678,998,0,26.90742,75.77079,"Clock Tower, East Jaipur, Jaipur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,East Jaipur,Industrial Area,2024,4,2024-04-01,2810859,9995,355.55,2316,6028,1287,1,26.92152,75.73483,"Industrial Area, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of car theft was reported near outside Gaurav Tower.,Vehicle Theft
Jaipur,West Jaipur,Railway Station,2024,4,2024-04-01,2810859,10021,356.5,2322,6044,1290,1,26.93633,75.82375,"Railway Station, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of extremism was reported near outside the textile shop in Railway Station.,Extremism/Anti-national
Jaipur,West Jaipur,School Colony,2024,4,2024-04-01,2810859,6246,222.19,1447,3767,804,0,26.87498,75.81831,"School Colony, West Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in School Colony market.,Other
Jaipur,Central Jaipur,Highway Junction,2024,4,2024-04-01,2810859,8548,304.1,1981,5156,1100,1,26.88861,75.7519,"Highway Junction, Central Jaipur, Jaipur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,Central Jaipur,Clock Tower,2024,4,2024-04-01,2810859,10119,359.97,2344,6103,1303,1,26.90854,75.71005,"Clock Tower, Central Jaipur, Jaipur, Rajasthan",Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,North Jaipur,Bus Stand,2024,5,2024-05-01,2810859,6832,243.06,1396,3826,1487,0,26.82707,75.84155,"Bus Stand, North Jaipur, Jaipur, Rajasthan",Not Installed,The complainant was duped in a financial scam.,Financial Fraud
Jaipur,North Jaipur,Court Area,2024,5,2024-05-01,2810859,8150,289.96,1665,4565,1774,0,26.95734,75.87316,"Court Area, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,South Jaipur,Court Area,2024,5,2024-05-01,2810859,6028,214.48,1232,3376,1312,0,26.89552,75.75922,"Court Area, South Jaipur, Jaipur, Rajasthan",Installed,The complainant misplaced their bag.,Lost Property
Jaipur,South Jaipur,Railway Station,2024,5,2024-05-01,2810859,8911,317.04,1821,4991,1940,1,26.91688,75.75889,"Railway Station, South Jaipur, Jaipur, Rajasthan",Not Installed,Illegal gambling reported in Railway Station.,Illegal Gambling
Jaipur,East Jaipur,Temple Chowk,2024,5,2024-05-01,2810859,7280,259.01,1488,4077,1585,0,26.87958,75.77132,"Temple Chowk, East Jaipur, Jaipur, Rajasthan",Installed,Verbal argument escalated. Police intervened.,Public Disturbance
Jaipur,East Jaipur,Main Market,2024,5,2024-05-01,2810859,7754,275.87,1585,4343,1688,0,26.94844,75.74429,"Main Market, East Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in Main Market market.,Other
Jaipur,West Jaipur,Clock Tower,2024,5,2024-05-01,2810859,7304,259.87,1493,4091,1590,0,26.98528,75.73848,"Clock Tower, West Jaipur, Jaipur, Rajasthan",Installed,Verbal argument escalated. Police intervened.,Public Disturbance
Jaipur,West Jaipur,Court Area,2024,5,2024-05-01,2810859,6088,216.62,1244,3410,1325,0,26.83718,75.75362,"Court Area, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Court Area.,Fraud/Deception
Jaipur,Central Jaipur,Highway Junction,2024,5,2024-05-01,2810859,9149,325.51,1870,5124,1992,1,26.96083,75.71399,"Highway Junction, Central Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in Highway Junction.,Other
Jaipur,Central Jaipur,Bus Stand,2024,5,2024-05-01,2810859,10558,375.65,2158,5913,2298,1,26.99414,75.77518,"Bus Stand, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of car theft was reported near outside Gaurav Tower.,Vehicle Theft
Jaipur,North Jaipur,Court Area,2024,6,2024-06-01,2810859,8313,295.73,2218,3778,1251,0,26.8672,75.83148,"Court Area, North Jaipur, Jaipur, Rajasthan",Not Installed,Noise complaint received. Accused warned.,Other
Jaipur,North Jaipur,Hospital Road,2024,6,2024-06-01,2810859,7761,276.09,2071,3527,1168,0,26.87432,75.73014,"Hospital Road, North Jaipur, Jaipur, Rajasthan",Not Installed,Attempted burglary reported near residential colony in Hospital Road.,Burglary
Jaipur,South Jaipur,Clock Tower,2024,6,2024-06-01,2810859,5698,202.69,1520,2589,857,0,26.9479,75.77457,"Clock Tower, South Jaipur, Jaipur, Rajasthan",Not Installed,A case of car theft was reported near outside Gaurav Tower.,Vehicle Theft
Jaipur,South Jaipur,Railway Station,2024,6,2024-06-01,2810859,9413,334.86,2512,4278,1416,1,26.89614,75.76253,"Railway Station, South Jaipur, Jaipur, Rajasthan",Not Installed,The complainant misplaced their bag.,Lost Property
Jaipur,East Jaipur,Main Market,2024,6,2024-06-01,2810859,7485,266.28,1997,3402,1126,0,26.82135,75.75913,"Main Market, East Jaipur, Jaipur, Rajasthan",Installed,A case of car theft was reported near outside Gaurav Tower.,Vehicle Theft
Jaipur,East Jaipur,Lake Side,2024,6,2024-06-01,2810859,9750,346.86,2602,4431,1467,1,26.88966,75.77474,"Lake Side, East Jaipur, Jaipur, Rajasthan",Not Installed,Noise complaint received. Accused warned.,Other
Jaipur,West Jaipur,Court Area,2024,6,2024-06-01,2810859,9338,332.2,2492,4244,1405,1,26.92127,75.8821,"Court Area, West Jaipur, Jaipur, Rajasthan",Not Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,West Jaipur,School Colony,2024,6,2024-06-01,2810859,8820,313.76,2354,4008,1327,1,26.94111,75.74184,"School Colony, West Jaipur, Jaipur, Rajasthan",Installed,A case of drunken brawl was reported near inside Triton Mall.,Public Disturbance
Jaipur,Central Jaipur,Highway Junction,2024,6,2024-06-01,2810859,6852,243.75,1828,3114,1031,0,26.89571,75.73239,"Highway Junction, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,Central Jaipur,Tourist Spot,2024,6,2024-06-01,2810859,7534,268.01,2010,3424,1133,0,26.86235,75.73517,"Tourist Spot, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of anti-national activity was reported near outside the post office in Tourist Spot.,Extremism/Anti-national
Jaipur,North Jaipur,Hospital Road,2024,7,2024-07-01,2810859,9752,346.93,2898,3427,2421,1,26.93904,75.80303,"Hospital Road, North Jaipur, Jaipur, Rajasthan",Installed,Verbal argument escalated. Police intervened.,Public Disturbance
Jaipur,North Jaipur,Main Market,2024,7,2024-07-01,2810859,5914,210.4,1758,2078,1468,0,26.8935,75.79084,"Main Market, North Jaipur, Jaipur, Rajasthan",Installed,A case of scam was reported near outside the post office in Main Market.,Financial Fraud
Jaipur,South Jaipur,Bus Stand,2024,7,2024-07-01,2810859,8699,309.46,2585,3057,2159,1,26.94432,75.71909,"Bus Stand, South Jaipur, Jaipur, Rajasthan",Not Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,South Jaipur,Industrial Area,2024,7,2024-07-01,2810859,5585,198.68,1660,1963,1386,0,26.92363,75.82565,"Industrial Area, South Jaipur, Jaipur, Rajasthan",Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,East Jaipur,Hospital Road,2024,7,2024-07-01,2810859,10033,356.92,2982,3526,2490,1,26.89298,75.82961,"Hospital Road, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of car theft was reported near outside Gaurav Tower.,Vehicle Theft
Jaipur,East Jaipur,Highway Junction,2024,7,2024-07-01,2810859,8175,290.82,2429,2873,2029,0,26.87022,75.74395,"Highway Junction, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of anti-national activity was reported near outside the post office in Highway Junction.,Extremism/Anti-national
Jaipur,West Jaipur,Railway Station,2024,7,2024-07-01,2810859,8413,299.29,2500,2956,2088,0,26.94325,75.74868,"Railway Station, West Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,West Jaipur,Bus Stand,2024,7,2024-07-01,2810859,7613,270.85,2263,2675,1890,0,26.905,75.75384,"Bus Stand, West Jaipur, Jaipur, Rajasthan",Installed,Verbal argument escalated. Police intervened.,Public Disturbance
Jaipur,Central Jaipur,Highway Junction,2024,7,2024-07-01,2810859,5856,208.34,1740,2058,1454,0,26.73612,75.81715,"Highway Junction, Central Jaipur, Jaipur, Rajasthan",Installed,A case of car theft was reported near outside Gaurav Tower.,Vehicle Theft
Jaipur,Central Jaipur,Railway Station,2024,7,2024-07-01,2810859,8879,315.87,2639,3120,2204,1,27.00082,75.8322,"Railway Station, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Railway Station.,Fraud/Deception
Jaipur,North Jaipur,Railway Station,2024,8,2024-08-01,2810859,8421,299.58,1742,4863,1288,0,26.9512,75.76276,"Railway Station, North Jaipur, Jaipur, Rajasthan",Installed,Noise complaint received. Accused warned.,Other
Jaipur,North Jaipur,Clock Tower,2024,8,2024-08-01,2810859,7389,262.87,1529,4267,1131,0,26.84043,75.84942,"Clock Tower, North Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in Clock Tower market.,Other
Jaipur,South Jaipur,Main Market,2024,8,2024-08-01,2810859,9827,349.61,2033,5675,1504,1,27.01811,75.71972,"Main Market, South Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in Main Market.,Other
Jaipur,South Jaipur,Lake Side,2024,8,2024-08-01,2810859,7787,277.01,1611,4497,1191,0,26.92352,75.77886,"Lake Side, South Jaipur, Jaipur, Rajasthan",Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,East Jaipur,School Colony,2024,8,2024-08-01,2810859,10085,358.78,2086,5824,1543,1,26.89264,75.83347,"School Colony, East Jaipur, Jaipur, Rajasthan",Installed,A case of anti-national activity was reported near outside the post office in School Colony.,Extremism/Anti-national
Jaipur,East Jaipur,Clock Tower,2024,8,2024-08-01,2810859,8489,302.01,1756,4903,1299,1,26.88274,75.78939,"Clock Tower, East Jaipur, Jaipur, Rajasthan",Installed,A case of drunken brawl was reported near inside Triton Mall.,Public Disturbance
Jaipur,West Jaipur,Temple Chowk,2024,8,2024-08-01,2810859,7994,284.38,1654,4617,1223,0,26.90391,75.79803,"Temple Chowk, West Jaipur, Jaipur, Rajasthan",Not Installed,Chain snatching incident occurred outside temple in Temple Chowk.,Other
Jaipur,West Jaipur,Clock Tower,2024,8,2024-08-01,2810859,9745,346.66,2016,5628,1491,1,26.97341,75.86598,"Clock Tower, West Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,Central Jaipur,Railway Station,2024,8,2024-08-01,2810859,5889,209.5,1218,3401,901,0,26.92388,75.7592,"Railway Station, Central Jaipur, Jaipur, Rajasthan",Not Installed,Noise complaint received. Accused warned.,Other
Jaipur,Central Jaipur,Court Area,2024,8,2024-08-01,2810859,6729,239.37,1392,3886,1030,0,26.90914,75.82498,"Court Area, Central Jaipur, Jaipur, Rajasthan",Installed,A case of scam was reported near outside the post office in Court Area.,Financial Fraud
Jaipur,North Jaipur,Industrial Area,2024,9,2024-09-01,2810859,11114,395.4,2084,4127,1836,1,26.9753,75.82203,"Industrial Area, North Jaipur, Jaipur, Rajasthan",Not Installed,Chain snatching incident occurred outside temple in Industrial Area.,Other
Jaipur,North Jaipur,Police Station Area,2024,9,2024-09-01,2810859,11337,403.32,2125,4209,1872,1,26.90195,75.7131,"Police Station Area, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of anti-national activity was reported near outside the post office in Police Station Area.,Extremism/Anti-national
Jaipur,South Jaipur,Highway Junction,2024,9,2024-09-01,2810859,8295,295.13,1555,3080,1370,0,27.01185,75.83262,"Highway Junction, South Jaipur, Jaipur, Rajasthan",Not Installed,Attempted burglary reported near residential colony in Highway Junction.,Burglary
Jaipur,South Jaipur,Tourist Spot,2024,9,2024-09-01,2810859,8253,293.62,1547,3064,1363,0,26.95283,75.73373,"Tourist Spot, South Jaipur, Jaipur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,East Jaipur,Railway Station,2024,9,2024-09-01,2810859,9352,332.7,1753,3472,1544,1,26.95996,75.918,"Railway Station, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Railway Station.,Fraud/Deception
Jaipur,East Jaipur,Mall Road,2024,9,2024-09-01,2810859,7163,254.83,1343,2660,1183,0,26.93241,75.79353,"Mall Road, East Jaipur, Jaipur, Rajasthan",Not Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,West Jaipur,Lake Side,2024,9,2024-09-01,2810859,7154,254.53,1341,2656,1182,0,26.88364,75.687,"Lake Side, West Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in Lake Side.,Other
Jaipur,West Jaipur,Temple Chowk,2024,9,2024-09-01,2810859,8177,290.93,1533,3036,1351,0,26.98515,75.79498,"Temple Chowk, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Temple Chowk.,Financial Fraud
Jaipur,Central Jaipur,Police Station Area,2024,9,2024-09-01,2810859,11847,421.5,2221,4399,1957,1,26.86491,75.88138,"Police Station Area, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Police Station Area.,Financial Fraud
Jaipur,Central Jaipur,Temple Chowk,2024,9,2024-09-01,2810859,9236,328.6,1732,3429,1525,1,27.00202,75.93262,"Temple Chowk, Central Jaipur, Jaipur, Rajasthan",Not Installed,The complainant misplaced their bag.,Lost Property
Jaipur,North Jaipur,Highway Junction,2024,10,2024-10-01,2810859,6029,214.49,1402,3494,882,0,26.89013,75.86867,"Highway Junction, North Jaipur, Jaipur, Rajasthan",Not Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,North Jaipur,Tourist Spot,2024,10,2024-10-01,2810859,6109,217.32,1421,3540,894,0,26.84448,75.78576,"Tourist Spot, North Jaipur, Jaipur, Rajasthan",Not Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,South Jaipur,Police Station Area,2024,10,2024-10-01,2810859,7553,268.71,1757,4377,1105,0,27.00702,75.82936,"Police Station Area, South Jaipur, Jaipur, Rajasthan",Not Installed,A case of extremism was reported near outside the textile shop in Police Station Area.,Extremism/Anti-national
Jaipur,South Jaipur,Temple Chowk,2024,10,2024-10-01,2810859,8788,312.65,2044,5093,1286,1,26.90577,75.82407,"Temple Chowk, South Jaipur, Jaipur, Rajasthan",Installed,A case of deception was reported near outside the school in Temple Chowk.,Fraud/Deception
Jaipur,East Jaipur,Main Market,2024,10,2024-10-01,2810859,7942,282.54,1847,4603,1162,0,26.9506,75.82169,"Main Market, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Main Market.,Fraud/Deception
Jaipur,East Jaipur,Lake Side,2024,10,2024-10-01,2810859,8349,297.04,1942,4839,1222,0,26.92796,75.79567,"Lake Side, East Jaipur, Jaipur, Rajasthan",Installed,The complainant misplaced their bag.,Lost Property
Jaipur,West Jaipur,Main Market,2024,10,2024-10-01,2810859,8477,301.56,1972,4912,1241,1,26.863,75.73609,"Main Market, West Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in Main Market.,Other
Jaipur,West Jaipur,Temple Chowk,2024,10,2024-10-01,2810859,8986,319.7,2090,5208,1315,1,26.96553,75.78696,"Temple Chowk, West Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in Temple Chowk market.,Other
Jaipur,Central Jaipur,Hospital Road,2024,10,2024-10-01,2810859,8449,300.57,1965,4896,1237,1,26.95076,75.70477,"Hospital Road, Central Jaipur, Jaipur, Rajasthan",Installed,A case of deception was reported near outside the school in Hospital Road.,Fraud/Deception
Jaipur,Central Jaipur,School Colony,2024,10,2024-10-01,2810859,6981,248.36,1624,4046,1022,0,26.96498,75.7713,"School Colony, Central Jaipur, Jaipur, Rajasthan",Not Installed,Attempted burglary reported near residential colony in School Colony.,Burglary
Jaipur,North Jaipur,Industrial Area,2024,11,2024-11-01,2810859,11015,391.84,2346,7158,1853,1,26.79002,75.72594,"Industrial Area, North Jaipur, Jaipur, Rajasthan",Not Installed,Attempted burglary reported near residential colony in Industrial Area.,Burglary
Jaipur,North Jaipur,Temple Chowk,2024,11,2024-11-01,2810859,9942,353.7,2118,6462,1673,1,26.94991,75.68408,"Temple Chowk, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of drunken brawl was reported near inside Triton Mall.,Public Disturbance
Jaipur,South Jaipur,Main Market,2024,11,2024-11-01,2810859,6237,221.87,1328,4053,1049,0,26.84038,75.86605,"Main Market, South Jaipur, Jaipur, Rajasthan",Installed,Pickpocketing incident reported in Main Market market.,Other
Jaipur,South Jaipur,Industrial Area,2024,11,2024-11-01,2810859,10432,371.1,2222,6780,1755,1,26.89837,75.79473,"Industrial Area, South Jaipur, Jaipur, Rajasthan",Not Installed,A case of anti-national activity was reported near outside the post office in Industrial Area.,Extremism/Anti-national
Jaipur,East Jaipur,Highway Junction,2024,11,2024-11-01,2810859,11050,393.1,2354,7182,1859,1,26.92157,75.78181,"Highway Junction, East Jaipur, Jaipur, Rajasthan",Not Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,East Jaipur,School Colony,2024,11,2024-11-01,2810859,8027,285.56,1710,5217,1351,0,26.86736,75.7202,"School Colony, East Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in School Colony.,Other
Jaipur,West Jaipur,Lake Side,2024,11,2024-11-01,2810859,6368,226.53,1356,4138,1071,0,26.84999,75.83622,"Lake Side, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Lake Side.,Fraud/Deception
Jaipur,West Jaipur,School Colony,2024,11,2024-11-01,2810859,7391,262.92,1574,4803,1243,0,26.90181,75.81557,"School Colony, West Jaipur, Jaipur, Rajasthan",Not Installed,The complainant was duped in a financial scam.,Financial Fraud
Jaipur,Central Jaipur,School Colony,2024,11,2024-11-01,2810859,7796,277.34,1661,5067,1312,0,26.92192,75.77672,"School Colony, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of extremism was reported near outside the textile shop in School Colony.,Extremism/Anti-national
Jaipur,Central Jaipur,Main Market,2024,11,2024-11-01,2810859,6023,214.26,1283,3914,1013,0,26.92316,75.74678,"Main Market, Central Jaipur, Jaipur, Rajasthan",Not Installed,The complainant was duped in a financial scam.,Financial Fraud
Jaipur,North Jaipur,Tourist Spot,2024,12,2024-12-01,2810859,7475,265.91,2127,3540,1173,0,26.95199,75.83243,"Tourist Spot, North Jaipur, Jaipur, Rajasthan",Not Installed,Illegal gambling reported in Tourist Spot.,Illegal Gambling
Jaipur,North Jaipur,Temple Chowk,2024,12,2024-12-01,2810859,8014,285.1,2280,3796,1257,0,27.00133,75.74887,"Temple Chowk, North Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in Temple Chowk market.,Other
Jaipur,South Jaipur,Police Station Area,2024,12,2024-12-01,2810859,6174,219.64,1757,2924,969,0,26.94031,75.82701,"Police Station Area, South Jaipur, Jaipur, Rajasthan",Installed,Illegal gambling reported in Police Station Area.,Illegal Gambling
Jaipur,South Jaipur,Mall Road,2024,12,2024-12-01,2810859,10650,378.88,3030,5044,1671,1,26.82033,75.79355,"Mall Road, South Jaipur, Jaipur, Rajasthan",Installed,A case of extremism was reported near outside the textile shop in Mall Road.,Extremism/Anti-national
Jaipur,East Jaipur,Court Area,2024,12,2024-12-01,2810859,6724,239.21,1913,3185,1055,0,26.94328,75.83692,"Court Area, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of extremism was reported near outside the textile shop in Court Area.,Extremism/Anti-national
Jaipur,East Jaipur,Hospital Road,2024,12,2024-12-01,2810859,6283,223.52,1788,2976,986,0,26.99093,75.7478,"Hospital Road, East Jaipur, Jaipur, Rajasthan",Installed,A case of car theft was reported near outside Gaurav Tower.,Vehicle Theft
Jaipur,West Jaipur,Hospital Road,2024,12,2024-12-01,2810859,8374,297.91,2383,3966,1314,0,26.90902,75.78477,"Hospital Road, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,West Jaipur,Bus Stand,2024,12,2024-12-01,2810859,7160,254.7,2037,3391,1123,0,26.88256,75.89364,"Bus Stand, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Bus Stand.,Financial Fraud
Jaipur,Central Jaipur,Temple Chowk,2024,12,2024-12-01,2810859,7006,249.24,1993,3318,1099,0,26.96063,75.75109,"Temple Chowk, Central Jaipur, Jaipur, Rajasthan",Not Installed,Noise complaint received. Accused warned.,Other
Jaipur,Central Jaipur,Railway Station,2024,12,2024-12-01,2810859,8725,310.4,2483,4132,1369,1,26.90662,75.81566,"Railway Station, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Railway Station.,Financial Fraud
Jodhpur,North Jodhpur,Bus Stand,2021,1,2021-01-01,3874431,11340,292.69,1955,4880,2699,0,26.14699,73.00205,"Bus Stand, North Jodhpur, Jodhpur, Rajasthan",Not Installed,A case of anti-national activity was reported near outside the post office in Bus Stand.,Extremism/Anti-national
Jodhpur,North Jodhpur,Temple Chowk,2021,1,2021-01-01,3874431,17559,453.19,3027,7556,4180,1,26.27981,73.09681,"Temple Chowk, North Jodhpur, Jodhpur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jodhpur,South Jodhpur,Bus Stand,2021,1,2021-01-01,3874431,13638,352.0,2351,5869,3246,1,26.23446,73.05696,"Bus Stand, South Jodhpur, Jodhpur, Rajasthan",Installed,A case of anti-national activity was reported near outside the post office in Bus Stand.,Extremism/Anti-national
Jodhpur,South Jodhpur,Main Market,2021,1,2021-01-01,3874431,11471,296.07,1978,4936,2731,0,26.24762,72.9781,"Main Market, South Jodhpur, Jodhpur, Rajasthan",Not Installed,Attempted burglary reported near residential colony in Main Market.,Burglary
Jodhpur,East Jodhpur,Main Market,2021,1,2021-01-01,3874431,14315,369.46,2468,6160,3407,1,26.24443,73.08699,"Main Market, East Jodhpur, Jodhpur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jodhpur,East Jodhpur,College Road,2021,1,2021-01-01,3874431,15711,405.49,2708,6761,3740,1,26.22874,72.98049,"College Road, East Jodhpur, Jodhpur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jodhpur,West Jodhpur,Tourist Spot,2021,1,2021-01-01,3874431,11836,305.49,2040,5093,2817,1,26.16863,73.04307,"Tourist Spot, West Jodhpur, Jodhpur, Rajasthan",Installed,A case of deception was reported near outside the school in Tourist Spot.,Fraud/Deception
Jodhpur,West Jodhpur,Bus Stand,2021,1,2021-01-01,3874431,12383,319.6,2135,5328,2948,1,26.32286,72.94965,"Bus Stand, West Jodhpur, Jodhpur, Rajasthan",Not Installed,Domestic violence complaint received in Bus Stand.,Other
Jodhpur,Central Jodhpur,Clock Tower,2021,1,2021-01-01,3874431,16845,434.78,2904,7249,4010,1,26.29431,73.07313,"Clock Tower, Central Jodhpur, Jodhpur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Clock Tower.,Financial Fraud
Jodhpur,Central Jodhpur,Mall Road,2021,1,2021-01-01,3874431,12493,322.44,2154,5376,2974,1,26.22875,73.0168,"Mall Road, Central Jodhpur, Jodhpur, Rajasthan",Installed,The complainant was duped in a financial scam.,Financial Fraud
Jodhpur,North Jodhpur,Railway Station,2021,2,2021-02-01,3874431,13497,348.36,2907,5902,2845,1,26.18305,73.01928,"Railway Station, North Jodhpur, Jodhpur, Rajasthan",Installed,A case of extremism was reported near outside the textile shop in Railway Station.,Extremism/Anti-national
